Neighborhood,kWh per month
El Pueblo.,"[347.63514599 206.29517535 119.90038095 310.34533951 156.72083337
 239.67160013 123.44585236 301.72711677 103.2580212  314.92285567
 264.92140899 147.63772293 369.66670102 223.25251807 107.35300069
 358.68531953 105.92162116 316.42694618 146.27202985 322.27308879
 479.3782356  383.93159195 338.9091123  277.36662073 441.7112508
 238.46836878 388.22320809 150.96899545 304.37060163 189.40614606
 464.90340821 189.13462385 136.59857845 425.46524878 376.37658666
 400.44149227]"
El Recreo.,"[265.88582939 480.59527734 377.25673096 448.26192789 438.70343308
 439.98612606 343.00179329 178.18749447 101.3557948  475.51145707
 199.93660118 141.42428166 131.71349068 239.4394054  422.59619838
 153.10493106 426.35707884 106.54240448 259.10959467 474.86764727
 322.49757892 458.27929752 228.70594804 165.76073016 472.34112152
 463.77945403 196.76716624 306.77391254 261.41293449 456.16277617
 237.50730776 402.16524206 388.98985486 491.98534705 413.99930341
 117.3340145 ]"
El Romance.,"[426.53322284 162.90538823 362.71426305 459.09224031 327.104595
 113.16209155 429.75848591 256.05656328 102.78009059 210.49881031
 379.81582606 406.67946236 499.5064216  234.04405566 433.05128273
 143.87197324 297.50005965 253.79618072 465.19655951 285.54458223
 457.41917401 464.72702663 106.92108977 432.37884138 136.67267347
 208.9134522  221.45160624 107.65380447 336.11436782 139.49567388
 453.28667227 137.13708803 425.12930547 437.23289391 138.05775665
 403.98435922]"
El Rubí.,"[281.61761317 258.16704866 140.93209245 371.70341918 413.70548041
 339.64156145 296.2568693  195.95145818 208.46372574 239.1233264
 297.6704652  245.7551725  204.17213144 192.52166117 138.66046636
 286.49460434 371.49103618 274.05480938 421.06912745 203.61591354
 318.41524069 244.38417706 315.92914147 349.65741105 265.60114217
 217.47321463 223.93283368 452.49310914 289.98993916 494.06568833
 386.10036189 325.27784944 101.20441068 181.33011091 483.55778315
 382.15008716]"
El Silencio.,"[354.32943623 238.50653382 294.73792401 451.62253677 388.31941411
 263.45697586 258.76831618 142.97405878 443.02650822 429.71238551
 123.15575804 159.31656625 202.3926744  156.4572701  294.02753543
 369.87361882 358.10875509 278.87436371 272.71863257 416.38276289
 178.12008803 175.62256391 367.6098073  473.9574557  428.47119898
 301.10850489 327.79104895 354.86544668 169.3709817  292.97251568
 184.66033975 347.63365653 450.87298668 275.5752908  456.5783182
 399.07845918]"
El Valle.,"[423.56432796 415.86896646 131.27422926 330.80973819 325.11831962
 193.18246762 351.29324874 121.29696742 101.91599618 195.82649277
 258.80620493 147.13615431 412.50954938 274.42126893 336.42218124
 366.46627453 165.22135088 337.75066782 343.82497986 435.99862313
 444.46385321 237.06671828 377.49260683 117.78050042 182.40020936
 266.63953305 424.21765897 116.64056658 198.50991686 251.99689456
 312.05921118 300.73589487 255.54011952 321.19854036 219.6468513
 134.22052418]"
Evaristo Sourdis.,"[114.38080279 256.09897938 209.50591044 198.51373584 205.37173932
 418.54783436 362.98125814 145.18169231 143.93504822 353.07960353
 360.69864967 388.05280706 101.69441931 390.34442082 374.72418264
 267.97197453 350.92975815 314.4549595  140.15297926 300.28502538
 132.66358669 310.36938282 361.22297572 114.7871308  477.80978611
 238.77542267 333.4018126  435.73070255 279.95880785 316.41059766
 346.72030193 241.82521252 221.7486439  224.02237159 462.90946253
 264.80213603]"
Kalamary.,"[442.5266016  442.40381782 387.87004118 455.15732946 114.11867196
 288.12806028 287.66272231 157.29974134 435.91399403 109.47347074
 339.08430587 465.99761145 153.02894038 169.1095659  276.18821303
 249.25548974 243.76349112 139.84430086 341.12497723 320.40616286
 268.78360614 334.61534038 260.27608519 194.96471299 494.44845831
 341.11005692 373.99197082 152.50071454 153.12831735 462.79772105
 436.27450072 230.71701811 251.01071619 291.40713582 129.70368665
 139.82014426]"
La Ceiba.,"[195.54389481 232.91091521 213.6020332  250.15727807 322.22679533
 477.67454931 197.75359965 172.22880971 343.23150281 306.79856782
 164.92605047 446.93050822 165.52757001 421.70309022 152.95603912
 149.23155978 200.73764158 108.99012014 182.89864256 205.76177094
 375.95670738 143.88397644 438.10520819 234.2097614  495.20687138
 390.3883723  208.30950315 158.86807775 338.57112108 268.44811464
 391.80841634 104.75908859 369.30486582 126.4519815  320.63881294
 118.84304379]"
La Esmeralda.,"[121.51662597 374.11760635 124.06637169 450.91249524 356.35166038
 166.38470346 288.55337454 216.38525438 298.90682079 282.8497781
 381.07496989 272.29491526 332.13839842 137.01428114 154.72312932
 473.18711317 120.59651623 404.36220064 216.26971324 161.91608357
 448.89269743 195.8896917  289.83770408 339.12695212 151.04300669
 461.90138589 450.00127015 367.59255507 385.90151588 432.72444891
 276.57451848 125.26506168 305.35014829 134.04321404 173.22696156
 172.74467357]"
La Florida.,"[327.77499414 495.04282358 181.20169724 217.92352359 267.35817301
 458.65068607 140.56780651 172.69091921 216.91172757 159.68298995
 357.04713789 102.38623365 267.02422581 452.28817385 288.34757537
 498.00716045 334.5689077  185.65906009 212.97998082 243.46783109
 359.68252104 147.46102102 499.70604431 422.76699057 152.5680864
 454.73795485 450.58337942 156.76997885 369.53631178 398.31441016
 375.76086332 206.59887195 493.11632734 422.18300882 321.99991642
 484.35857866]"
La Gloria.,"[480.79252707 489.89045406 384.44054882 321.10732062 322.72263807
 320.29980229 158.59100112 101.60142783 451.61441139 314.13771462
 294.42676735 319.24854942 180.7626451  114.52374138 461.53428308
 350.62181134 361.21530306 289.78205481 480.62293948 411.6912466
 443.32679741 238.52662963 246.23622171 200.75545394 231.64426007
 310.46946184 372.2208014  249.35500868 149.31580921 295.16223873
 132.35389571 197.46646405 270.35217661 297.82014489 381.660885
 250.80688655]"
La Libertad.,"[146.97747976 480.07758705 212.30124915 104.33728852 271.56132577
 435.99905351 132.10364097 466.77848518 108.68134636 419.59816136
 453.01573887 203.84906611 218.27902814 139.70040241 304.88344076
 247.48640712 385.51413693 205.04018193 138.04643499 389.80277645
 100.11986606 174.49357711 284.49486614 129.73221401 435.5402672
 291.67167843 329.41277431 354.73387736 454.77379876 182.50002865
 378.8618213  466.7059516  128.1014922  182.96068431 168.33776096
 355.01065363]"
La Manga.,"[486.67664585 455.16276233 494.10102242 339.46165626 359.80561205
 142.5430761  206.74737475 382.51885776 151.48266547 271.91776906
 453.65459151 486.19079078 333.04691724 279.69073313 493.72140954
 334.03803871 143.80702643 258.72551176 401.62514404 182.17334835
 117.12578484 334.11061451 449.20306045 348.32804732 433.89846412
 142.94173992 270.49826999 398.87255715 371.39928651 402.46461278
 216.23718459 479.80129451 240.77851844 265.24342453 466.88831642
 433.52870952]"
La Paz.,"[333.25404014 118.51204429 479.00776085 253.60718807 311.10663695
 362.24725437 420.79523629 264.84882127 379.53945701 146.35563492
 326.40541551 128.95565458 144.70789203 114.64896511 499.46969523
 254.49345974 121.51467976 329.25779051 443.17437447 217.46371709
 330.14617241 415.39149155 403.95587203 483.01853284 340.09127055
 230.50423429 276.52893614 242.47124517 203.13315494 434.91247773
 107.58659179 218.94283219 352.976292   273.05589605 499.08907399
 398.77311661]"
La Pradera.,"[220.69609463 252.37213343 449.29840248 401.85286065 355.74043609
 384.70968808 464.44687376 102.51120255 458.18446934 364.55680077
 429.83834034 129.01565667 360.87236751 408.00823587 447.97799653
 139.11511312 446.97935627 121.44155976 429.74169282 348.49097074
 325.83475687 198.48975419 336.47553903 102.58464955 281.88531999
 141.83781007 446.39640077 172.97682974 399.85452376 197.74840773
 398.82727932 484.69553771 301.3005208  357.96252639 103.00779811
 135.06330162]"
La Sierra.,"[405.08582914 371.4882751  442.07974829 327.40618783 154.91022683
 322.70739531 114.83654757 300.81647    128.06752884 183.78390561
 487.23304888 354.7562742  493.29869878 350.82320277 270.91156182
 244.48760754 441.18791506 229.56087702 351.14560774 240.98351778
 270.99691426 423.50249691 415.61728571 391.20120934 307.17380627
 359.33289076 332.54979512 145.8250918  466.75316615 108.96354996
 225.8631494  478.41715999 168.10105359 337.50031049 337.50053769
 100.71765907]"
Las Colinas.,"[245.96324934 180.86194076 478.68263633 331.32605232 203.33917311
 287.9141062  225.70532355 183.73309662 225.28284865 153.79591865
 325.21690353 256.79375544 331.94257186 420.43709142 490.8831582
 150.04480274 298.01561187 490.83206755 307.06865253 132.08218867
 230.06306274 265.15110388 350.00617678 174.01056929 141.46417656
 307.66552123 407.71735063 458.27814577 304.13382562 278.04490798
 249.05892494 448.07987239 121.80154248 420.42543917 369.07835228
 101.03242884]"
Las Estrellas.,"[379.67478023 121.69698417 203.82961132 426.27922524 365.42830582
 176.46176444 122.60457199 107.53652719 201.80058105 182.58269713
 301.0380318  249.48969476 165.34877547 371.99095783 485.94792319
 193.22531979 432.4616079  285.5869292  196.8903988  297.79719477
 127.39530909 134.11111235 386.47134402 161.78387835 372.15014299
 286.72166388 355.10508624 459.89972891 461.26618161 348.08508962
 217.46473773 358.11365768 210.23287001 428.65315843 397.8526669
 477.39857366]"
Las Malvinas.,"[468.3257153  157.09605046 270.2579482  417.23509801 169.80281137
 185.35017746 216.74533784 423.37366076 360.02871681 395.02799594
 392.82179096 461.05546304 283.37387682 392.02898986 198.20980044
 263.47568385 477.6208009  311.06413954 272.3376579  181.18132292
 183.69816246 400.80946586 180.13819704 153.03241921 323.74324663
 425.86529052 120.07776269 300.61937346 455.66407945 250.96311795
 316.5833493  221.16926703 313.07240618 124.77661163 469.41620896
 330.38107686]"
Las Mercedes Sur.,"[259.84201636 174.12427824 257.79272126 338.04097092 120.13735905
 419.88920799 239.8741682  261.72470582 269.58422302 453.6726144
 469.0121587  286.07018145 362.52099794 291.82947266 257.77380472
 256.54678824 295.18303431 345.89655918 230.93834091 426.80669169
 173.10045957 496.16714176 490.52960923 103.73241792 351.04398223
 343.03179689 451.51672601 199.7892025  408.60601442 335.66634632
 403.67093653 176.06996303 294.65868481 112.82334832 171.99726427
 335.98484266]"
Las Terrazas.,"[202.21947508 371.56513605 103.16422511 255.37965774 403.51814621
 274.53478957 497.82119551 423.14691095 178.78715431 437.0060955
 232.21326872 115.50327649 455.74113897 189.77524411 430.63795173
 167.98359636 318.72836315 107.59410744 360.12236391 394.97204818
 464.57665919 482.57159419 247.21492732 389.49131035 375.75632145
 238.1243814  414.45102568 437.07580295 122.33470716 334.91167632
 445.01803499 356.59072576 351.04612897 276.80113055 152.27930332
 135.60459772]"
Lipaya.,"[388.48977295 127.20734413 282.91036531 356.53442822 482.62987026
 199.87230514 254.39590571 376.65277832 238.79209057 430.26501089
 417.36098317 146.83852333 232.15107819 193.06503413 491.53818295
 115.40469848 250.81026634 194.58543319 240.99873297 166.99969348
 252.76735295 124.99110323 122.0430656  324.75697459 413.9610206
 270.99417772 211.06041974 215.85186808 285.18696587 158.57249069
 166.56625697 306.66011192 338.50378995 374.87311575 161.77839256
 302.20987161]"
Loma Fresca.,"[476.63612685 390.82815922 191.19666033 190.28072256 221.80043357
 178.60127084 376.05424022 331.82466506 270.76078467 374.48537846
 227.12679443 476.87827146 462.03178826 173.44603914 399.66515652
 456.29723874 101.27209453 264.38566046 414.65972223 184.2566103
 359.75000674 435.0845327  431.70370552 313.09234327 151.3556371
 186.80881661 310.33081919 129.59997902 412.49653413 159.07727345
 470.05314868 222.10506172 392.88985153 209.66832975 296.20558411
 165.34823006]"
Los Andes.,"[419.04296885 168.23531768 164.80707626 144.01533557 443.60179784
 177.13875184 402.53662269 330.86101242 471.01274122 402.12884091
 162.26629241 134.91929516 159.86379484 114.04318222 489.38426068
 426.04378634 193.40424174 415.24818227 334.45906952 135.01934914
 328.05131813 291.77609461 423.22118156 436.27210791 279.68394636
 413.0956905  231.03392373 268.32418573 476.79406476 495.32643565
 193.14757033 315.05518943 409.12413561 133.84369292 330.5926303
 108.22236935]"
Los Olivos I.,"[305.35900038 283.59043577 333.8487795  445.48575735 240.14497112
 436.50830806 328.48748056 314.07492458 308.26913426 368.22358528
 148.37262647 116.475907   158.06016054 275.04231811 180.14394772
 181.37269497 425.9963948  220.99267394 130.0559028  426.85124245
 292.93504635 445.22217345 463.18214623 125.08321785 186.05846856
 152.07346649 215.22067949 335.21930691 221.72393601 254.94889799
 160.93559594 117.51195804 424.72944617 470.62014497 304.22553418
 224.50892528]"
Los Olivos II.,"[178.03792602 157.4863667  444.23542859 174.15277848 401.20269616
 256.80420981 493.75930822 401.73003764 125.01866814 126.74610898
 179.04532514 108.47354154 313.11276363 190.71533171 377.52578237
 448.76614284 457.80149516 193.08170605 119.47522666 149.38561992
 128.95217315 260.81149229 248.60411737 401.53405978 151.33974049
 175.9816023  465.40172085 114.10606063 416.1885105  447.44972821
 246.16502988 153.67820691 271.41489984 213.12214573 350.22353703
 441.41225033]"
Los Pinos.,"[388.84547261 112.64935169 349.69520397 153.45725126 232.9594432
 177.76168244 102.56561536 440.5816849  262.7931973  446.75511764
 212.01419347 383.46248674 208.66015714 355.64757061 164.45468713
 315.6866142  268.95639078 212.33125251 304.87872139 212.62889237
 158.98088406 121.21527081 276.1073961  433.12830602 169.98277489
 331.92146401 348.77972283 332.2682258  193.09682601 383.6965845
 106.97467786 442.66647976 443.59029738 393.97071689 330.44281789
 137.13835436]"
Los Rosales.,"[129.71684984 209.72874085 177.0129035  128.02394251 260.39354744
 455.1142929  475.68736519 161.43530471 123.6236911  313.68461277
 367.81640696 406.93162646 259.91836824 459.24575708 286.96411512
 306.12334954 120.9762094  486.58717203 440.37193515 492.79565529
 195.17907416 198.47852426 344.50846128 472.63655509 140.50263956
 468.19608173 174.46003325 193.8379137  403.71830441 312.5843315
 185.92208167 398.92814559 126.81439383 287.61336588 199.21651097
 377.85879684]"
Lucero,"[465.49846824 493.69936925 244.23619192 356.25380011 324.95084733
 276.64238748 163.34357692 403.92161332 277.54153015 284.31912172
 188.52365531 389.36887413 134.97014121 226.79874151 186.84480167
 480.25524543 310.57546139 391.98972289 278.72758882 263.90984486
 464.86559288 151.06494206 275.76748771 357.32666538 364.54618011
 112.7612948  145.250604   251.24834142 475.41783951 291.62909064
 291.40700884 235.54042114 399.91729089 106.37361814 415.86677302
 112.21400926]"
Mequejo.,"[489.33685612 384.10721867 414.18600466 425.47292645 182.1444717
 249.42667922 273.17754232 443.6832157  171.08934544 411.08531116
 206.39717318 438.53823048 201.26499009 211.46256109 416.47199207
 287.61433812 147.72330506 493.39809379 147.29664945 109.33489032
 350.03567898 492.33345883 222.81151061 314.09227218 473.8745831
 444.55258195 109.19373271 282.93773442 155.30760991 114.76544025
 454.98620063 352.67947065 437.30482412 113.07922268 258.18275283
 387.76523999]"
Olaya,"[219.02228515 403.54083686 429.62352786 286.62775877 148.1206369
 149.74383206 244.71877961 287.45750532 382.39014111 195.88509066
 373.03501049 209.58502643 174.06269438 248.45286928 391.47306833
 187.39107598 211.40595422 312.72563848 300.68165652 191.28468653
 295.78600002 164.23963377 470.14928518 245.89490176 101.5800899
 134.14335016 419.84535463 147.00895069 223.04851027 392.99387631
 298.59564735 247.23761993 354.90421737 322.32861545 124.26505599
 481.20743142]"
San Felipe,"[345.54256738 441.10873767 396.80957786 233.54152662 327.23624149
 382.13157989 210.99912774 353.4213798  162.95842848 266.54274825
 256.07871642 283.90871174 461.09164126 174.66515316 496.47141371
 426.29783955 107.90858322 130.95101746 188.1637785  435.10338205
 491.71802546 476.3647119  456.09773419 445.41765307 238.71486491
 178.81332181 452.17861965 145.40881338 368.29379939 482.87263439
 260.37839123 112.68434549 110.53899527 241.31375711 475.77219544
 367.50288534]"
San Isidro,"[497.81983519 369.71002078 137.67102231 293.59254523 112.55251917
 123.81921526 226.56882449 265.76271285 276.37637716 115.41456537
 179.09638318 339.76436685 390.24035116 216.25345522 458.18534605
 386.55328092 317.13271217 442.31144671 479.77603894 214.22830223
 283.61027065 335.24840676 162.2762141  118.36194545 321.4170359
 317.91926115 182.37788666 156.22458616 121.66463335 214.57978095
 231.86003723 397.78025957 164.19551512 129.01155436 209.05179369
 353.03368992]"
El Por Fin,"[466.0570923  268.45740213 149.95887786 395.32120137 381.9591535
 227.14051295 140.73895941 327.55971709 284.1569491  354.61481596
 301.57716748 371.09071706 210.05048794 494.21650538 303.37726928
 175.05018941 219.9641324  375.77659241 375.78654011 139.4241439
 417.7608511  445.97723195 176.5458314  277.25863095 293.92078436
 105.60089011 348.64917177 140.9336694  191.67711187 381.91247701
 235.84973525 128.22454467 210.22466652 199.46559582 106.23791938
 147.87269131]"
Alfonso López,"[262.41258205 451.70704332 377.99133748 415.72679357 284.83143668
 193.05285208 134.61484726 292.72281052 145.41261582 421.52810053
 324.05818771 311.16139409 177.23488061 213.92346862 336.75365881
 228.11228497 465.05863517 420.36393996 233.27681522 337.67555838
 461.00718553 220.21025312 305.94014914 419.56817509 237.21045406
 114.83834291 316.53931255 187.79839953 123.90615215 214.32092329
 409.006037   123.05602836 488.27333176 343.28335281 464.20053186
 302.56016883]"
Atlántico.,"[389.04248727 343.97381293 464.65665485 402.31982287 381.43128317
 450.92616659 293.92183438 125.81432746 275.88440234 112.83377379
 366.73064068 254.38276277 132.64420628 248.91993534 108.99349998
 156.69257444 426.57688679 370.41876501 443.07030517 210.08768556
 414.20711048 156.65876448 404.89423315 476.87076499 151.18615657
 172.79379805 416.68973203 328.54939507 419.20770705 216.31247126
 351.19263048 207.19574953 248.5575439  366.66200364 462.12513133
 426.86959706]"
Bella Arena.,"[157.56217819 353.33428697 411.0485825  177.10892277 113.1380185
 450.49266105 212.29957453 372.65309113 313.03267324 273.55174025
 194.99283249 282.29329014 464.27470779 165.75018652 387.28197241
 167.97652912 438.27988258 484.84900733 327.9435798  345.29354484
 246.9250219  320.35017668 143.58892131 431.08243011 156.33284938
 130.10028647 236.46713212 438.71791136 165.67183855 333.21117799
 417.5842135  215.20224518 287.42843943 361.5379223  357.24923484
 499.83835064]"
Boyacá.,"[217.39503788 291.48228402 307.80861257 141.99692301 150.92196809
 178.98801523 348.48812746 191.64125541 308.73702885 202.57001235
 195.40315661 412.56913616 413.44611349 492.34069374 149.55131869
 261.38068111 137.11382299 269.74964252 166.64359231 234.77661664
 364.2038346  302.80085942 360.31150214 349.53444571 369.27581343
 475.39252281 232.29403605 468.48367717 102.37315007 481.87512588
 382.69064054 151.91147966 381.90424089 405.15399404 438.47788654
 383.02208535]"
Chiquinquirá.,"[468.99507816 411.41092177 447.54573886 300.80640093 224.1334369
 211.81405038 314.49068653 245.27583098 426.34845914 108.2699097
 499.58436808 302.069316   209.65760834 402.91582351 123.04388572
 351.57401144 408.5610587  303.48165587 349.67403208 414.76147619
 406.11585112 476.1111616  326.19105881 354.629724   369.24677431
 480.34342813 362.20168995 205.57617943 270.77548101 250.84362679
 293.65204484 249.45502044 417.96392604 452.13950225 304.99919401
 256.34159913]"
El Campito.,"[459.34620123 454.06592318 298.72806366 204.98524148 133.97911497
 481.41511571 430.72696206 250.86221468 144.04616684 484.69757776
 103.04980392 315.59805995 444.7731343  279.41387538 388.25449202
 389.67200142 153.57802295 464.91995208 208.46711688 415.17173212
 143.1004698  358.81487469 389.90747079 329.67880734 275.01682338
 277.09626958 153.23226665 422.90687479 460.59798367 318.28275281
 114.33647947 324.03702532 240.49294087 451.92207187 235.90291458
 134.91299894]"
El Limón.,"[274.31842444 438.90400296 464.02198533 400.90204625 217.02249134
 334.83132183 209.87692253 410.08364344 152.89715675 430.67245894
 126.42084812 104.26867462 282.62591296 346.10879343 325.66831411
 209.96669428 152.82443456 246.06420019 210.62755752 263.09876461
 489.11473959 469.69374882 492.50768014 334.50087854 493.84747894
 494.21420538 320.00470686 434.04377257 130.65050346 188.99785699
 258.44326293 468.55371498 146.05754091 481.48967743 315.52088404
 127.95780758]"
El Milagro.,"[270.65569522 128.34181615 138.47951116 222.8512088  382.51726415
 267.23871168 264.8627381  368.53072986 250.01748468 325.0720868
 235.98704467 382.84704758 364.25137506 465.6553093  335.66898169
 366.29892933 410.5413568  324.58538304 240.36246493 383.15073363
 105.79426675 497.46086696 499.15603841 193.61009636 397.0507644
 466.3054464  142.8575738  278.76679901 132.87376633 386.1387969
 292.60463393 228.11030673 478.14088228 231.63925581 201.7060298
 452.67651471]"
José Antonio Galán.,"[370.55885322 187.58809894 379.30827188 168.37802684 365.47792479
 193.01125449 143.26156832 447.37368458 351.2343701  158.4390233
 287.0286112  456.67529017 493.39987785 246.32035743 207.45442207
 278.88216289 410.99880373 390.55261001 264.39877861 149.00315007
 261.74768184 182.09090674 130.29271303 412.72627198 367.79091238
 375.43778624 262.52119725 426.51407877 418.25480485 245.82526501
 143.09915859 120.38920223 388.20612258 437.43431941 220.09867752
 418.21178928]"
La Alboraya.,"[322.52604695 200.43186744 274.44430928 183.7416769  178.77776844
 224.06004399 203.6214429  491.91811932 443.29498251 302.53182432
 254.64631469 383.47465482 301.71360978 208.34471819 258.0893395
 371.5437114  119.03827593 231.05123427 468.76100482 408.25628488
 155.73450314 492.99425107 139.02855122 356.15044728 135.25651152
 356.76278508 378.15363278 208.7730156  311.82204513 200.54868389
 105.33202883 400.76081223 111.73821407 166.93186484 327.01176997
 257.74991844]"
La Chinita.,"[110.62423725 316.33077834 218.73345616 388.70089465 152.68514795
 233.22493183 226.34250515 351.38093352 257.54412021 332.60366683
 381.8443458  208.70813909 383.29445027 341.9577785  168.86407034
 153.3079218  409.91563142 418.34582409 239.73123273 428.25374877
 240.77262994 467.06173029 365.49165873 156.81631426 223.62778653
 132.58726442 330.87244582 220.92893384 392.37467375 258.51922052
 302.49781013 243.8028479  208.79062406 365.41852568 395.24631452
 498.21064858]"
La Luz.,"[445.79863026 332.91111755 487.35125881 225.38050727 146.03475306
 450.39561782 380.67853313 458.06718434 191.16846535 481.92717378
 141.69037008 433.41710482 101.99368181 206.41870046 249.5582967
 297.92025783 197.4224283  262.92068935 162.31785926 421.37564843
 327.60277953 447.37979303 209.08498576 312.08656219 440.70683479
 189.08909757 232.82766419 193.90305737 430.67978905 429.23189678
 333.34881843 257.33936096 333.50035617 315.23133025 276.78359701
 353.26653549]"
La Magdalena.,"[435.46091308 444.16384238 226.43651819 490.25129543 273.83709934
 365.4084796  126.86151573 439.01927555 443.25365404 483.98162963
 354.2028253  218.38920824 291.39330014 410.82155388 306.75071236
 140.59151455 240.34672351 364.21107201 471.95449921 207.88563246
 352.58174293 358.88464549 187.4414647  199.57363063 179.28833412
 451.46204412 169.61421389 301.97147844 477.9118646  392.28702383
 156.96574043 247.17437277 384.11252951 294.69357074 165.11445336
 384.05969839]"
La Unión.,"[261.26696073 117.58833722 388.69504634 201.615235   208.48232583
 410.31554017 207.16355561 166.90685159 163.77911672 416.7712631
 178.44466976 158.27858707 270.45462419 145.17831484 360.07155898
 318.73728246 371.30747307 234.16526332 421.7030839  128.70167774
 373.24508318 479.99354896 280.86435311 149.05104771 138.76163714
 388.80705536 320.84647947 437.2873714  148.03197939 479.51897343
 174.75459483 176.64112008 467.62222614 170.12052136 175.32056282
 328.78874209]"
La Victoria.,"[112.25181446 145.36014553 208.08875044 483.99930443 387.75918536
 456.67116713 114.283895   399.27599862 195.38779254 101.93877427
 144.31904021 271.70886898 448.64696903 167.24022581 394.36005483
 229.87834633 227.4168309  459.33253428 239.54254634 257.77906804
 472.94662489 134.99133121 173.64499464 329.91448845 283.6253651
 163.13922104 404.86477896 145.29950133 233.23730087 336.52222799
 375.24583235 317.42909367 190.30137101 195.32460662 179.41822549
 117.99256212]"
Las Dunas.,"[373.30681997 418.46268556 316.45025088 355.34990124 293.56375015
 397.90293837 187.49310299 347.45996904 498.46719003 218.21297769
 150.03425953 291.13560905 384.55761711 247.52280308 255.14150692
 164.6089605  410.52185761 353.28467227 343.19146647 207.36532695
 125.57714515 296.20721722 135.7678769  366.53688225 280.43992853
 267.03077404 490.55340078 256.22710581 345.37103011 431.67086101
 127.04523484 203.29209984 161.30557769 473.65329153 178.7633921
 159.12993154]"
Las Nieves.,"[325.49380436 451.87101781 282.68841851 379.05489831 130.19149989
 180.90034493 382.43957167 267.86508065 387.8719693  124.17424055
 363.02967615 187.98539205 101.74587581 343.14246139 167.9408509
 480.71001218 362.14063627 167.39863025 431.9201764  319.86627725
 248.20987286 491.5082834  114.25187952 101.96492459 173.08297472
 429.50912961 350.79558381 469.5641963  148.912904   312.6770835
 462.56739116 199.90911059 139.89982299 137.34347407 322.64647572
 455.38323515]"
Las Palmas.,"[493.64968292 160.19839213 488.92034248 252.87090333 499.12135346
 376.29012515 103.67711161 440.81349392 302.70178648 106.26690841
 276.04470219 195.63289786 434.38584269 350.34290644 240.86147047
 457.80200066 379.09504072 480.48778454 259.14269716 201.98421498
 264.81035295 341.29046897 131.90168358 195.11795152 410.90739077
 304.73146015 130.19359628 306.16194243 264.93183205 312.37703245
 386.62273471 109.54772897 122.41434687 185.72500682 395.12028915
 291.48200275]"
Las Palmeras.,"[498.33763235 436.5444694  445.15270957 453.59023578 375.16370987
 373.08168214 491.63819669 379.52477695 225.7896045  234.93535898
 262.42731338 349.54086019 316.46862913 426.29068021 439.50695786
 153.19216355 313.11266423 284.60841228 355.70453989 487.19359073
 383.9702233  482.29402697 159.84271749 110.0570207  285.79246467
 498.68078581 116.04120565 394.69645702 208.31393697 181.82832963
 369.32203287 167.73797967 479.44233297 373.24653655 128.41830945
 362.82038664]"
Los Laureles.,"[193.0025482  444.42710178 368.52984136 130.85033208 315.39598788
 288.83877115 152.9583732  194.76898386 266.08560401 371.63263571
 322.98801579 194.7008573  432.24975261 455.20700364 102.14301971
 302.75501392 240.3794955  268.40003813 233.35882661 438.25490595
 289.14049946 256.33019669 492.00350476 282.96139016 391.59710297
 460.82827777 144.16521923 369.8143847  346.6045117  238.08866269
 304.87020549 202.90095557 452.27337372 286.93475164 285.12688962
 361.80824231]"
Los Trupillos.,"[175.99769367 206.48001048 208.56005811 390.83409573 386.78090643
 394.86003898 107.62186684 488.98893045 214.83342864 343.06710141
 491.30775989 118.44645997 117.95677563 404.12685233 302.36252639
 244.12755442 201.93293681 354.59871711 376.58140499 259.52503745
 241.66047919 180.65865529 259.72362457 370.5357816  381.52933052
 439.0910373  227.94006339 364.4055131  323.57577394 119.87837654
 341.62909549 461.6060985  170.46097433 126.2663199  291.13287147
 241.01662947]"
Moderno.,"[258.99635155 163.29334047 413.74003862 352.63540172 415.93223794
 339.26557976 276.98810568 391.70875677 468.96979284 186.42710821
 196.99357853 266.93838299 115.13813423 417.4353723  492.91094249
 489.26733355 194.15833367 478.29880658 132.69810258 240.87116178
 384.76261874 368.2542243  149.79047814 133.94226548 113.49537295
 137.36183678 139.14144734 216.625579   494.79478378 166.27618494
 489.70881641 202.51970875 310.14707935 339.63375501 437.40861767
 111.34076423]"
Montes.,"[226.45328961 279.62796332 292.43064865 359.86119168 411.04105441
 157.55269353 175.88384967 126.89264983 211.76171195 165.59030248
 424.57246738 453.15390853 413.44178926 318.97113526 359.51837412
 243.36470862 213.50337706 196.24329548 301.76625817 194.85879409
 248.6972679  495.03564262 433.51467563 162.92383189 253.08703296
 494.37186041 151.16779787 499.67111594 343.7402334  323.22085914
 424.34446719 198.58117991 406.43872444 148.89099082 228.38928775
 108.05361065]"
Pasadena.,"[312.03838013 153.25545018 177.28462225 151.37562658 227.57403408
 343.8377928  122.99662456 344.2248146  341.10781305 369.88919495
 399.82424968 340.55052431 264.95743076 174.60058491 209.16742362
 406.09075948 235.64779044 141.46403797 176.04104074 241.34340625
 114.8180401  273.59339887 364.9450131  308.53127709 132.73622315
 145.73342501 450.72318837 160.36455543 484.3967906  271.94799491
 228.68268406 463.32617659 425.48623349 382.58360255 433.78430519
 322.42422796]"
